#
# cmptest.csv -- pin constraints for DE2-115 board
#

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved

#
# clock and reset
#
clk_in,Input,PIN_Y2,2,B2_N0,3.3-V LVTTL,
rst_in_n,Input,PIN_M23,6,B6_N2,2.5 V,

#
# SDRAM
#
#sdram_clk,Output,PIN_AE5,3,B3_N2,3.3-V LVTTL,
#sdram_cke,Output,PIN_AA6,2,B2_N2,3.3-V LVTTL,
#sdram_cs_n,Output,PIN_T4,2,B2_N0,3.3-V LVTTL,
#sdram_ras_n,Output,PIN_U6,2,B2_N1,3.3-V LVTTL,
#sdram_cas_n,Output,PIN_V7,2,B2_N1,3.3-V LVTTL,
#sdram_we_n,Output,PIN_V6,2,B2_N1,3.3-V LVTTL,
#sdram_ba[1],Output,PIN_R4,2,B2_N0,3.3-V LVTTL,
#sdram_ba[0],Output,PIN_U7,2,B2_N1,3.3-V LVTTL,
#sdram_a[12],Output,PIN_Y7,2,B2_N2,3.3-V LVTTL,
#sdram_a[11],Output,PIN_AA5,2,B2_N2,3.3-V LVTTL,
#sdram_a[10],Output,PIN_R5,2,B2_N0,3.3-V LVTTL,
#sdram_a[9],Output,PIN_Y6,2,B2_N2,3.3-V LVTTL,
#sdram_a[8],Output,PIN_Y5,2,B2_N2,3.3-V LVTTL,
#sdram_a[7],Output,PIN_AA7,2,B2_N2,3.3-V LVTTL,
#sdram_a[6],Output,PIN_W7,2,B2_N2,3.3-V LVTTL,
#sdram_a[5],Output,PIN_W8,2,B2_N2,3.3-V LVTTL,
#sdram_a[4],Output,PIN_V5,2,B2_N1,3.3-V LVTTL,
#sdram_a[3],Output,PIN_P1,1,B1_N2,3.3-V LVTTL,
#sdram_a[2],Output,PIN_U8,2,B2_N1,3.3-V LVTTL,
#sdram_a[1],Output,PIN_V8,2,B2_N1,3.3-V LVTTL,
#sdram_a[0],Output,PIN_R6,2,B2_N0,3.3-V LVTTL,
#sdram_dqm[3],Output,PIN_N8,1,B1_N2,3.3-V LVTTL,
#sdram_dqm[2],Output,PIN_K8,1,B1_N2,3.3-V LVTTL,
#sdram_dqm[1],Output,PIN_W4,2,B2_N2,3.3-V LVTTL,
#sdram_dqm[0],Output,PIN_U2,2,B2_N0,3.3-V LVTTL,
#sdram_dq[31],Bidir,PIN_U1,2,B2_N0,3.3-V LVTTL,
#sdram_dq[30],Bidir,PIN_U4,2,B2_N0,3.3-V LVTTL,
#sdram_dq[29],Bidir,PIN_T3,2,B2_N0,3.3-V LVTTL,
#sdram_dq[28],Bidir,PIN_R3,2,B2_N0,3.3-V LVTTL,
#sdram_dq[27],Bidir,PIN_R2,2,B2_N0,3.3-V LVTTL,
#sdram_dq[26],Bidir,PIN_R1,2,B2_N0,3.3-V LVTTL,
#sdram_dq[25],Bidir,PIN_R7,2,B2_N0,3.3-V LVTTL,
#sdram_dq[24],Bidir,PIN_U5,2,B2_N1,3.3-V LVTTL,
#sdram_dq[23],Bidir,PIN_L7,1,B1_N2,3.3-V LVTTL,
#sdram_dq[22],Bidir,PIN_M7,1,B1_N2,3.3-V LVTTL,
#sdram_dq[21],Bidir,PIN_M4,1,B1_N1,3.3-V LVTTL,
